time_slot,visible_sats
0,"['STARLINK-1294', 'STARLINK-2437', 'STARLINK-2626', 'STARLINK-2575', 'STARLINK-3701', 'STARLINK-4115', 'STARLINK-5163', 'STARLINK-6268', 'STARLINK-6186', 'STARLINK-30546', 'STARLINK-31701', 'STARLINK-31858', 'STARLINK-33947', 'STARLINK-34348', 'STARLINK-34235', 'STARLINK-34632', 'STARLINK-34662', 'STARLINK-34664', 'STARLINK-34675', 'STARLINK-34748', 'STARLINK-34757', 'STARLINK-34722', 'STARLINK-34676', 'STARLINK-34631', 'STARLINK-34570']"
1,"['STARLINK-2626', 'STARLINK-2575', 'STARLINK-3701', 'STARLINK-5163', 'STARLINK-6186', 'STARLINK-30546', 'STARLINK-31701', 'STARLINK-31858', 'STARLINK-34235', 'STARLINK-34646', 'STARLINK-34649', 'STARLINK-34660', 'STARLINK-34604', 'STARLINK-34620', 'STARLINK-34748', 'STARLINK-34676', 'STARLINK-34578', 'STARLINK-34690']"
2,"['STARLINK-2626', 'STARLINK-2575', 'STARLINK-3701', 'STARLINK-5163', 'STARLINK-5086', 'STARLINK-6186', 'STARLINK-6227', 'STARLINK-30546', 'STARLINK-31701', 'STARLINK-31858', 'STARLINK-33875', 'STARLINK-34697', 'STARLINK-34693', 'STARLINK-34608', 'STARLINK-34644', 'STARLINK-34685', 'STARLINK-34736', 'STARLINK-34682', 'STARLINK-34654', 'STARLINK-34628']"
3,"['STARLINK-1298', 'STARLINK-2626', 'STARLINK-2575', 'STARLINK-3701', 'STARLINK-5163', 'STARLINK-5086', 'STARLINK-6186', 'STARLINK-6227', 'STARLINK-30546', 'STARLINK-31858', 'STARLINK-31910', 'STARLINK-33875', 'STARLINK-34666', 'STARLINK-34567', 'STARLINK-34633', 'STARLINK-34624', 'STARLINK-34651', 'STARLINK-34544']"
4,"['STARLINK-1200', 'STARLINK-1966', 'STARLINK-2575', 'STARLINK-3775', 'STARLINK-5163', 'STARLINK-5086', 'STARLINK-6268', 'STARLINK-6186', 'STARLINK-6227', 'STARLINK-31910', 'STARLINK-32001', 'STARLINK-33875', 'STARLINK-34163', 'STARLINK-33924', 'STARLINK-34338', 'STARLINK-34604', 'STARLINK-34658', 'STARLINK-34675', 'STARLINK-34667', 'STARLINK-34684']"
5,"['STARLINK-1298', 'STARLINK-4158', 'STARLINK-5086', 'STARLINK-6186', 'STARLINK-5860', 'STARLINK-6227', 'STARLINK-30955', 'STARLINK-31353', 'STARLINK-31366', 'STARLINK-31910', 'STARLINK-32001', 'STARLINK-33875', 'STARLINK-34163', 'STARLINK-34209', 'STARLINK-34629', 'STARLINK-34632', 'STARLINK-34646', 'STARLINK-34641', 'STARLINK-34696', 'STARLINK-34644', 'STARLINK-34685', 'STARLINK-34668', 'STARLINK-34723', 'STARLINK-34706', 'STARLINK-34746', 'STARLINK-34683']"
6,"['STARLINK-4158', 'STARLINK-5086', 'STARLINK-5860', 'STARLINK-6227', 'STARLINK-30955', 'STARLINK-31353', 'STARLINK-31366', 'STARLINK-31684', 'STARLINK-31910', 'STARLINK-32001', 'STARLINK-33873', 'STARLINK-33875', 'STARLINK-33918', 'STARLINK-34165', 'STARLINK-34163', 'STARLINK-33926', 'STARLINK-34608', 'STARLINK-34669', 'STARLINK-34723', 'STARLINK-34706', 'STARLINK-34746', 'STARLINK-34722', 'STARLINK-34683', 'STARLINK-34570', 'STARLINK-34690']"
7,"['STARLINK-1306', 'STARLINK-4158', 'STARLINK-5860', 'STARLINK-30955', 'STARLINK-31353', 'STARLINK-31684', 'STARLINK-32001', 'STARLINK-33873', 'STARLINK-33918', 'STARLINK-34165', 'STARLINK-34163', 'STARLINK-34213', 'STARLINK-34693', 'STARLINK-34567', 'STARLINK-34662', 'STARLINK-34633', 'STARLINK-34667', 'STARLINK-34757', 'STARLINK-34564', 'STARLINK-34628']"
8,"['STARLINK-1200', 'STARLINK-1237', 'STARLINK-2437', 'STARLINK-4158', 'STARLINK-5860', 'STARLINK-31353', 'STARLINK-32001', 'STARLINK-33873', 'STARLINK-33918', 'STARLINK-34165', 'STARLINK-34163', 'STARLINK-34337', 'STARLINK-34235', 'STARLINK-34697', 'STARLINK-34666', 'STARLINK-34649', 'STARLINK-34660', 'STARLINK-34620', 'STARLINK-34696', 'STARLINK-34675', 'STARLINK-34644', 'STARLINK-34685', 'STARLINK-34725', 'STARLINK-34631', 'STARLINK-34654']"
9,"['STARLINK-2437', 'STARLINK-4158', 'STARLINK-33873', 'STARLINK-33918', 'STARLINK-34165', 'STARLINK-34160', 'STARLINK-34658', 'STARLINK-34624', 'STARLINK-34664', 'STARLINK-34608', 'STARLINK-34756', 'STARLINK-34578', 'STARLINK-34651']"
10,"['STARLINK-1298', 'STARLINK-33918', 'STARLINK-34165', 'STARLINK-34160', 'STARLINK-33924', 'STARLINK-34629', 'STARLINK-34668', 'STARLINK-34667', 'STARLINK-34709', 'STARLINK-34736', 'STARLINK-34756', 'STARLINK-34676', 'STARLINK-34684']"
11,"['STARLINK-1306', 'STARLINK-3775', 'STARLINK-4028', 'STARLINK-34165', 'STARLINK-34160', 'STARLINK-34209', 'STARLINK-34632', 'STARLINK-34567', 'STARLINK-34660', 'STARLINK-34696', 'STARLINK-34685', 'STARLINK-34709', 'STARLINK-34748', 'STARLINK-34575']"
